"","author","match_title_freq","match_lang_freq","dnb_title_freq","dnb_lang_freq","onb_title_freq","onb_lang_freq","standard_res"
"1","Adler, H. G.",2,2,7,5,3,2,-0.105929702898758
"2","Adler, Hans",1,1,1,1,1,1,-0.102044113800408
"3","Aichinger, Ilse",8,6,28,16,11,8,0.0205532038595919
"4","Aichner, Bernhard",20,12,22,12,21,12,0.498229741710471
"5","Altenberg, Peter",4,4,10,6,5,5,-0.0387950838610031
"6","Améry, Jean",3,2,4,2,7,4,-0.184720867070554
"7","Anders, Günther",2,1,3,2,2,1,-0.0684742734799366
"8","Arenz, Ewald",1,1,8,6,1,1,-0.1020441138005
"9","Arnautović, Ljuba",1,1,2,2,1,1,-0.1020441138005
"10","Augustin, Anita",1,1,1,1,1,1,-0.1020441138005
"11","Ausländer, Rose",8,6,28,13,12,9,-0.0168994903056583
"12","Axster, Lilly",1,1,1,1,1,1,-0.1020441138005
"13","Bachmann, Ingeborg",38,20,118,33,46,22,0.840999507961202
"14","Bäcker, Heimrad",1,1,1,1,1,1,-0.1020441138005
"15","Baldini, Laura",7,7,14,11,8,8,0.0618977113238523
"16","Bankhofer, Hademar",1,1,2,2,1,1,-0.1020441138005
"17","Baronsky, Eva",8,8,10,8,8,8,0.132915204736706
"18","Barylli, Gabriel",1,1,2,2,1,1,-0.1020441138005
"19","Becker, Zdenka",3,2,4,3,3,2,-0.0349061703661382
"20","Beer, Alex",2,2,7,4,2,2,-0.0684742734799366
"21","Berger, Herbert",1,1,2,2,2,2,-0.139499431958003
"22","Bernard, Caroline",1,1,25,14,1,1,-0.1020441138005
"23","Bernhard, Thomas",160,30,464,37,227,32,2.85481873358021
"24","Bettauer, Hugo",1,1,4,3,2,2,-0.139499431958003
"25","Brandstetter, Alois",1,1,2,2,1,1,-0.1020441138005
"26","Brem, Ilse",2,2,2,2,2,2,-0.0684742734799366
"27","Brendel, Alfred",3,3,8,5,5,4,-0.109815782695588
"28","Brezina, Thomas",1,1,2,2,359,16,-15.4277893745415
"29","Breznik, Melitta",1,1,5,4,2,2,-0.139499431958003
"30","Broch, Hermann",16,12,70,20,22,16,0.176705803222409
"31","Bruckner, Ferdinand",1,1,5,4,2,1,-0.139499431958003
"32","Busch, Wilhelm",1,1,68,29,1,1,-0.1020441138005
"33","Canetti, Elias",16,10,65,27,46,20,-0.722881089234983
"34","Canetti, Veza",1,1,16,9,2,2,-0.139499431958003
"35","Cejpek, Lucas",1,1,1,1,1,1,-0.1020441138005
"36","Celan, Paul",44,22,126,30,57,27,0.855816775490593
"37","Chobot, Manfred",1,1,2,2,2,2,-0.139499431958003
"38","Cristen, Gabriele Marie",2,2,4,3,2,2,-0.0684742734799366
"39","Crüwell, G. A.",1,1,1,1,1,1,-0.1020441138005
"40","Dempf, Peter",1,1,19,8,1,1,-0.1020441138005
"41","Dinev, Dimitré",2,2,5,3,5,3,-0.180836481530173
"42","Doderer, Heimito ",11,8,NA,NA,13,10,0.158692912079991
"43","Doehnert, Rodica",1,1,6,6,2,2,-0.139499431958003
"44","Dor, Milo",1,1,3,3,2,2,-0.139499431958003
"45","EbnerEschenbach, Marie ",3,2,NA,NA,3,2,-0.0349061703661382
"46","Edelbauer, Raphaela",2,2,3,3,3,3,-0.10592970289876
"47","Eich, Günter",2,2,10,8,2,2,-0.0684742734799366
"48","Eichendorff, Joseph ",1,1,NA,NA,1,1,-0.1020441138005
"49","Elsberg, Marc",8,4,18,9,12,5,-0.0168994903056583
"50","Ephrussi, Elisabeth ",1,1,NA,NA,1,1,-0.1020441138005
"51","Erdheim, Claudia",2,1,4,2,2,1,-0.0684742734799366
"52","Fallwickl, Mareike",1,1,2,1,1,1,-0.1020441138005
"53","Faro, Marlene",1,1,1,1,1,1,-0.1020441138005
"54","Ferk, Janko",1,1,4,3,3,3,-0.176953235431382
"55","Flašar, Milena Michiko",13,13,16,13,15,14,0.22581770651764
"56","Flöss, Helene",1,1,1,1,1,1,-0.1020441138005
"57","Foresti, Traute",1,1,1,1,1,1,-0.1020441138005
"58","Franzobel",3,3,6,5,5,4,-0.109815782695588
"59","Freitag, Günther",1,1,2,1,1,1,-0.1020441138005
"60","Freund, René",1,1,1,1,2,1,-0.139499431958003
"61","Fried, Erich",4,4,17,9,7,7,-0.113702444506222
"62","Fritsch, Gerhard",1,1,1,1,1,1,-0.1020441138005
"63","Fritsch, Valerie",5,4,5,4,6,5,-0.00522979859333381
"64","Fritz, Marianne",2,2,4,3,2,2,-0.0684742734799366
"65","Futscher, Christian",1,1,2,2,1,1,-0.1020441138005
"66","Ganglbauer, Petra",1,1,1,1,1,1,-0.1020441138005
"67","Gauß, KarlMarkus",1,1,NA,NA,4,3,-0.214405744743344
"68","Geiger, Arno",15,12,29,19,33,20,-0.306402720723585
"69","Gelich, Johannes",1,1,3,3,1,1,-0.1020441138005
"70","Gerstl, Elfriede",1,1,1,1,1,1,-0.1020441138005
"71","Glattauer, Daniel",43,20,70,24,58,23,0.747217641437569
"72","Glattauer, Daniel, ",1,1,NA,NA,1,1,-0.1020441138005
"73","Glauser, Friedrich",8,6,50,11,12,8,-0.0168994903056583
"74","Glavinic, Thomas",20,13,34,18,22,13,0.460782238331587
"75","Grän, Christine",1,1,11,5,1,1,-0.1020441138005
"76","Greiner, Margret",1,1,3,3,1,1,-0.1020441138005
"77","Grill, Andrea",1,1,2,2,2,2,-0.139499431958003
"78","Grill, Evelyn",1,1,5,3,1,1,-0.1020441138005
"79","Grillparzer, Franz",2,2,11,7,2,2,-0.0684742734799366
"80","Gruber, Andreas",15,8,25,10,16,9,0.330395906929902
"81","Gruber, Marianne",3,2,9,6,4,3,-0.0723616527562538
"82","Gruber, Sabine",4,3,6,5,5,4,-0.0387950838610031
"83","Gstrein, Norbert",19,10,34,18,20,10,0.464660012569692
"84","Haas, Wolf",29,10,45,14,30,10,0.800465468025903
"85","Hackl, Erich",11,5,40,17,11,5,0.233599828970285
"86","Haderlap, Maja",6,6,10,9,7,7,0.0283344006224435
"87","Hadwiger, Viktor",1,1,2,1,1,1,-0.1020441138005
"88","Hamerling, Robert",1,1,2,2,1,1,-0.1020441138005
"89","Handke, Peter",233,35,439,39,293,37,5.9061122164428
"90","Händl, Klaus",1,1,2,2,1,1,-0.1020441138005
"91","Hartlieb, Petra",7,5,9,6,8,5,0.0618977113238523
"92","Härtling, Peter",4,4,34,14,12,8,-0.300960169014624
"93","Haslinger, Josef",3,3,11,11,6,6,-0.147268780657245
"94","Hassler, Silke",1,1,1,1,2,1,-0.139499431958003
"95","Hauer, Elisabeth",1,1,5,5,1,1,-0.1020441138005
"96","Haushofer, Marlen",28,14,60,22,33,16,0.617111267412747
"97","Helfer, Monika",9,7,10,8,14,11,-0.0207893980986672
"98","Henisch, Peter",6,5,11,7,10,6,-0.0840257018078269
"99","Hermann, Wolfgang",3,2,4,2,3,2,-0.0349061703661382
"100","Herzl, Theodor",1,1,4,3,2,2,-0.139499431958003
"101","HerzmanovskyOrlando, Fritz ",1,1,NA,NA,1,1,-0.1020441138005
"102","Hochgatterer, Paulus",8,5,18,11,11,6,0.0205532038595919
"103","Hochhuth, Rolf",1,1,12,5,1,1,-0.1020441138005
"104","Hochwälder, Fritz",1,1,4,3,1,1,-0.1020441138005
"105","Hoffer, Klaus",1,1,2,2,1,1,-0.1020441138005
"106","Hoffmann, E. T. A.",1,1,209,34,2,2,-0.139499431958003
"107","Hofmannsthal, Hugo ",12,9,NA,NA,17,12,0.0798985132453075
"108","Hofmannsthal, Hugo von",1,1,48,17,1,1,-0.1020441138005
"109","Horváth, Ödön ",12,10,NA,NA,18,11,0.0424460831768719
"110","Hotschnig, Alois",2,2,5,3,3,3,-0.10592970289876
"111","Innerhofer, Franz",3,3,4,3,4,3,-0.0723616527562538
"112","Jäger, Gerhard",1,1,1,1,1,1,-0.1020441138005
"113","Jandl, Ernst",4,4,13,9,8,8,-0.151154768914709
"114","Jelinek, Elfriede",116,29,280,38,134,30,3.12785778014606
"115","Jessen, Søren",1,1,1,1,1,1,-0.1020441138005
"116","Jonke, Gert",4,3,13,5,8,5,-0.151154768914709
"117","Jungk, Peter Stephan",1,1,8,4,2,1,-0.139499431958003
"118","Kafka, Franz",229,39,799,47,331,41,4.16211034205725
"119","Kaiser, Vea",8,5,8,5,8,5,0.132915204736706
"120","KaiserMühlecker, Reinhard",1,1,NA,NA,1,1,-0.1020441138005
"121","Kaléko, Mascha",1,1,3,3,2,2,-0.139499431958003
"122","Kappacher, Walter",3,3,3,3,8,6,-0.222172262327562
"123","Karlin, Alma M.",3,1,9,1,5,1,-0.109815782695588
"124","Kehlmann, Daniel",110,37,181,43,120,37,3.21727781560671
"125","Kern, Elfriede",1,1,1,1,1,1,-0.1020441138005
"126","Kim, Anna",6,6,11,9,8,7,-0.00911978208900136
"127","Kisch, Egon Erwin",1,1,5,3,2,2,-0.139499431958003
"128","Klein, Josef",1,1,NA,NA,1,1,-0.1020441138005
"129","Knapp, Radek",6,3,8,5,8,3,-0.00911978208900136
"130","Kneifl, Edith",2,1,3,2,2,1,-0.0684742734799366
"131","Koestler, Arthur",1,1,3,3,2,2,-0.139499431958003
"132","Kofler, Gerhard",1,1,1,1,1,1,-0.1020441138005
"133","Kofler, Werner",2,2,7,4,2,2,-0.0684742734799366
"134","Köhlmeier, Michael",16,11,28,18,19,13,0.289059032714534
"135","Konsalik, Heinz G.",1,1,336,22,1,1,-0.1020441138005
"136","Kramar, Hubsi",1,1,1,1,1,1,-0.1020441138005
"137","Kraus, Karl",4,4,24,9,10,8,-0.226057807798191
"138","Kraxner, Petra Maria",1,1,1,1,1,1,-0.1020441138005
"139","Kreslehner, Gabi",3,2,4,2,4,2,-0.0723616527562538
"140","Kröhn, Julia",3,3,8,5,3,3,-0.0349061703661382
"141","Kubelka, Susanna",8,5,42,9,8,5,0.132915204736706
"142","Kubin, Alfred",1,1,13,5,4,3,-0.214405744743344
"143","KuehneltLeddihn, Erik ",1,1,NA,NA,1,1,-0.1020441138005
"144","Kuehs, Wilhelm",1,1,1,1,1,1,-0.1020441138005
"145","Kumpfmüller, Michael",9,9,33,22,9,9,0.166477034577183
"146","Lack, Stephan",2,1,2,1,2,1,-0.0684742734799366
"147","Laube, Sigrid",1,1,1,1,1,1,-0.1020441138005
"148","Lavant, Christine",9,6,12,8,9,6,0.166477034577183
"149","Lazar, Maria",1,1,3,2,1,1,-0.1020441138005
"150","Lechner, Auguste",2,1,2,1,5,1,-0.180836481530173
"151","LernetHolenia, Alexander",10,7,NA,NA,14,8,0.0502254452980049
"152","Löhr, Robert",3,3,27,19,4,4,-0.0723616527562538
"153","Loidolt, Gabriel",2,2,3,3,2,2,-0.0684742734799366
"154","Lothar, Ernst",1,1,6,4,4,3,-0.214405744743344
"155","Lubomirski, Karl",3,3,9,8,5,4,-0.109815782695588
"156","Mall, Sepp",2,2,2,2,3,2,-0.10592970289876
"157","Maxian, Beate",1,1,4,2,1,1,-0.1020441138005
"158","Mayer, AnnaElisabeth",1,1,NA,NA,1,1,-0.1020441138005
"159","Mayreder, Rosa",1,1,1,1,1,1,-0.1020441138005
"160","Mayröcker, Friederike",23,13,41,16,27,14,0.486615530677844
"161","Meighörner, Jeannine",1,1,2,2,1,1,-0.1020441138005
"162","Menasse, Eva",17,9,26,12,22,12,0.247724911999704
"163","Menasse, Robert",34,20,59,22,36,20,0.931063605546451
"164","Messner, Elena",1,1,1,1,1,1,-0.1020441138005
"165","Meyerhoff, Joachim",14,8,17,8,14,8,0.334284818884693
"166","Meyrink, Gustav",30,14,119,22,38,15,0.571982859027277
"167","Mikan, Denis",1,1,1,1,1,1,-0.1020441138005
"168","Mitgutsch, Anna",4,4,19,8,4,4,-0.00133960676270864
"169","Mitterer, Felix",3,2,15,6,6,4,-0.147268780657245
"170","Moestl, Bernhard",1,1,1,1,1,1,-0.1020441138005
"171","MuckerFrimmel, Gerda",1,1,NA,NA,1,1,-0.1020441138005
"172","Musil, Robert",27,18,130,35,36,19,0.433727323293205
"173","Nestroy, Johann",1,1,4,3,2,2,-0.139499431958003
"174","Niederle, Helmuth A.",1,1,3,3,1,1,-0.1020441138005
"175","Okopenko, Andreas",2,2,4,4,2,2,-0.0684742734799366
"176","Perutz, Leo",14,10,75,22,20,13,0.109573978842341
"177","Peschina, Helmut",2,2,3,2,2,2,-0.0684742734799366
"178","Pittler, Andreas P.",1,1,1,1,2,2,-0.139499431958003
"179","Placzek, Adolf K.",1,1,1,1,1,1,-0.1020441138005
"180","Plattner, Martin",1,1,1,1,1,1,-0.1020441138005
"181","Pluhar, Erika",1,1,1,1,1,1,-0.1020441138005
"182","Poznanski, Ursula",37,12,44,14,62,21,0.170292687924954
"183","Prinz, Martin",2,2,3,3,2,2,-0.0684742734799366
"184","Raab, Thomas",5,5,7,6,5,5,0.0322256149735822
"185","Rabinovici, Doron",4,3,10,7,4,3,-0.00133960676270864
"186","Rakusa, Ilma",1,1,16,11,1,1,-0.1020441138005
"187","Ransmayr, Christoph",38,18,97,28,41,18,1.02815165796732
"188","Rathenböck, Elisabeth Vera",1,1,1,1,1,1,-0.1020441138005
"189","Reichart, Elisabeth",1,1,1,1,1,1,-0.1020441138005
"190","Reitzer, Angelika",1,1,1,1,1,1,-0.1020441138005
"191","Rezzori, Gregor ",10,8,NA,NA,11,8,0.162584287266721
"192","Rick, Karin",1,1,2,1,1,1,-0.1020441138005
"193","Riebe, Brigitte",1,1,32,9,1,1,-0.1020441138005
"194","Rilke, Rainer Maria",82,24,361,39,140,29,0.45135162289383
"195","Röggla, Kathrin",1,1,5,5,1,1,-0.1020441138005
"196","Rohr, Angela",1,1,3,3,1,1,-0.1020441138005
"197","Rosendorfer, Herbert",2,2,23,7,2,2,-0.0684742734799366
"198","Roßbacher, Verena",1,1,1,1,1,1,-0.1020441138005
"199","Roth, Gerhard",4,2,18,7,6,4,-0.0762492896252894
"200","Roth, Joseph",121,24,289,33,163,25,2.40527813729291
"201","Rudoll, Ronald",3,1,3,1,5,1,-0.109815782695588
"202","Rühm, Gerhard",2,2,3,3,2,2,-0.0684742734799366
"203","SacherMasoch, Leopold ",13,7,NA,NA,23,11,-0.0738073925620543
"204","Salburg, Edith",1,1,1,1,1,1,-0.1020441138005
"205","Salten, Felix",7,4,15,9,29,12,-0.724761544300352
"206","Schalko, David",2,2,2,2,2,2,-0.0684742734799366
"207","Schick, Eugen",1,1,1,1,1,1,-0.1020441138005
"208","Schiele, Egon",1,1,2,2,1,1,-0.1020441138005
"209","Schiller, B. C.",1,1,1,1,1,1,-0.1020441138005
"210","Schindel, Robert",3,3,9,8,3,3,-0.0349061703661382
"211","Schmidt, Volker",2,1,2,1,2,1,-0.0684742734799366
"212","Schneider, Robert",4,4,36,20,5,5,-0.0387950838610031
"213","Schnitzler, Arthur",40,17,179,33,62,19,0.38381664945649
"214","Schrefel, Magdalena",1,1,1,1,1,1,-0.1020441138005
"215","Schreiner, Margit",1,1,1,1,1,1,-0.1020441138005
"216","Schrott, Raoul",3,2,7,4,4,3,-0.0723616527562538
"217","Schuberth, Richard",2,2,3,3,2,2,-0.0684742734799366
"218","Schutti, Carolina",4,4,5,5,5,5,-0.0387950838610031
"219","Schwab, Werner",1,1,12,8,2,1,-0.139499431958003
"220","Seethaler, Robert",48,24,60,27,60,27,1.02809762847135
"221","Seghers, Anna",1,1,54,16,1,1,-0.1020441138005
"222","Serner, Walter",1,1,9,5,1,1,-0.1020441138005
"223","Setz, Clemens J.",15,9,21,13,15,9,0.367847484790976
"224","Simmel, Johannes Mario",15,4,147,20,19,4,0.218042568035173
"225","Singer, Lea",1,1,5,5,1,1,-0.1020441138005
"226","Skwara, Erich Wolfgang",1,1,7,3,1,1,-0.1020441138005
"227","Slupetzky, Stefan",1,1,1,1,1,1,-0.1020441138005
"228","Sommer, Edith",1,1,4,1,1,1,-0.1020441138005
"229","Sommer, Fedor",1,1,3,1,1,1,-0.1020441138005
"230","Stangl, Thomas",1,1,2,2,2,2,-0.139499431958003
"231","Stavarič, Michael",1,1,3,1,1,1,-0.1020441138005
"232","Steiner, Rudolf",5,4,38,15,6,5,-0.00522979859333381
"233","Steiner, Wilfried",1,1,2,2,1,1,-0.1020441138005
"234","Steinfest, Heinrich",9,2,10,2,9,2,0.166477034577183
"235","Stifter, Adalbert",13,6,51,12,25,9,-0.148723677534837
"236","Streeruwitz, Marlene",6,5,11,8,6,5,0.0657896924386218
"237","Strobl, Karl Hans",1,1,2,2,1,1,-0.1020441138005
"238","Struhar, Stanislav",3,1,4,1,3,1,-0.0349061703661382
"239","Suttner, Bertha ",2,2,NA,NA,2,2,-0.0684742734799366
"240","Svatek, Kurt F.",5,3,20,9,8,6,-0.080137275501855
"241","Taschler, Judith W.",2,1,2,1,2,1,-0.0684742734799366
"242","Tielsch, Ilse",1,1,5,4,2,1,-0.139499431958003
"243","Torberg, Friedrich",4,3,10,5,6,4,-0.0762492896252894
"244","Trakl, Georg",19,13,59,27,29,16,0.127600327519786
"245","Treiber, Jutta",1,1,2,2,4,4,-0.214405744743344
"246","Trojanow, Ilija",25,15,51,21,25,15,0.703552404596989
"247","Truschner, Peter",1,1,1,1,1,1,-0.1020441138005
"248","Turrini, Peter",10,7,33,13,13,7,0.0876779751703446
"249","Ungar, Hermann",2,1,25,8,2,1,-0.0684742734799366
"250","Urzidil, Johannes",1,1,8,5,1,1,-0.1020441138005
"251","Vavrik, Elfriede",1,1,1,1,1,1,-0.1020441138005
"252","Vermes, Timur",3,3,56,31,3,3,-0.0349061703661382
"253","Vertlib, Vladimir",4,3,5,3,5,3,-0.0387950838610031
"254","Vogel, Alois",1,1,8,3,1,1,-0.1020441138005
"255","Vögel, Stefan",8,1,10,1,11,1,0.0205532038595919
"256","Wallner, Michael",5,5,23,15,5,5,0.0322256149735822
"257","Walser, Alissa",4,4,14,8,5,5,-0.0387950838610031
"258","Wander, Fred",1,1,5,5,2,2,-0.139499431958003
"259","Wassermann, Jakob",8,3,31,12,10,4,0.0580064041825367
"260","Waterhouse, Peter",1,1,2,2,2,2,-0.139499431958003
"261","Weger, Michael",2,1,2,1,2,1,-0.0684742734799366
"262","Welsh, Renate",1,1,5,5,12,9,-0.514005678046347
"263","Werfel, Franz",26,16,109,25,31,18,0.549924592096064
"264","Widder, Bernhard",2,2,2,2,2,2,-0.0684742734799366
"265","Winder, Ludwig",1,1,5,3,1,1,-0.1020441138005
"266","Winkler, Josef",21,13,39,15,27,15,0.344562925672137
"267","Winkler, Katharina",6,6,8,6,6,6,0.0657896924386218
"268","Wolf, Christa",1,1,157,35,1,1,-0.1020441138005
"269","Wondratschek, Wolf",4,4,8,7,5,5,-0.0387950838610031
"270","Wurmitzer, Mario",1,1,1,1,1,1,-0.1020441138005
"271","Zauner, Friedrich Ch.",2,2,3,3,3,3,-0.10592970289876
"272","Zoderer, Joseph",1,1,4,2,3,1,-0.176953235431382
"273","Zweig, Arnold",2,2,12,5,2,2,-0.0684742734799366
"274","Zweig, Stefan",124,27,355,38,257,34,-1.01553279991322
